epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
127,1475.18,1.35432,0.72093,1.03776,0.96103,0.94849,0.97659,0.60748,1.24169,0.62227,1.06202,0.000153076,0.000153076,0.000153076
128,1486.87,1.36872,0.71897,1.02865,0.96849,0.94157,0.97637,0.60926,1.25809,0.63544,1.07132,0.000147076,0.000147076,0.000147076
129,1498.53,1.33337,0.70215,1.04216,0.95076,0.95461,0.97505,0.61066,1.23033,0.61685,1.05599,0.000141077,0.000141077,0.000141077
130,1510.17,1.37262,0.72002,1.03105,0.95809,0.95244,0.97869,0.61157,1.24726,0.61614,1.07713,0.000135077,0.000135077,0.000135077
131,1522.17,1.35709,0.70299,1.02565,0.96344,0.9407,0.97654,0.61493,1.22863,0.61753,1.05592,0.000129078,0.000129078,0.000129078
132,1533.88,1.36709,0.71119,1.01934,0.97472,0.93856,0.97791,0.60227,1.26246,0.61871,1.0707,0.000123079,0.000123079,0.000123079
133,1545.41,1.33361,0.69687,1.01431,0.9551,0.96022,0.97685,0.61922,1.21206,0.61338,1.06285,0.000117079,0.000117079,0.000117079
134,1557.13,1.34768,0.70209,1.01591,0.96847,0.94071,0.97776,0.61794,1.21759,0.62945,1.06355,0.00011108,0.00011108,0.00011108
135,1568.67,1.35683,0.69619,0.99937,0.96607,0.93957,0.97495,0.6052,1.24652,0.62045,1.05591,0.00010508,0.00010508,0.00010508
136,1580.12,1.34912,0.70699,1.01723,0.97198,0.94469,0.97829,0.60435,1.23381,0.61532,1.05991,9.9081e-05,9.9081e-05,9.9081e-05
137,1591.65,1.34303,0.69658,1.00261,0.97179,0.95631,0.98044,0.61528,1.21978,0.60473,1.05342,9.30816e-05,9.30816e-05,9.30816e-05
138,1603.4,1.3146,0.68676,1.01416,0.96336,0.96055,0.97743,0.61994,1.22269,0.60245,1.06195,8.70822e-05,8.70822e-05,8.70822e-05
139,1615.72,1.31788,0.69334,1.03325,0.97439,0.95492,0.97845,0.61171,1.22498,0.60703,1.04817,8.10828e-05,8.10828e-05,8.10828e-05
140,1627.27,1.34027,0.70301,1.0053,0.9648,0.96191,0.98043,0.60675,1.23455,0.60891,1.05338,7.50834e-05,7.50834e-05,7.50834e-05
141,1640.17,1.32341,0.65667,1.03006,0.96778,0.96042,0.97772,0.62525,1.19424,0.5983,1.05305,6.9084e-05,6.9084e-05,6.9084e-05
142,1651.97,1.29594,0.63433,1.01357,0.97112,0.95687,0.98079,0.61331,1.21839,0.61483,1.05606,6.30846e-05,6.30846e-05,6.30846e-05
143,1663.54,1.31256,0.63755,1.00774,0.97647,0.9542,0.97985,0.61498,1.23111,0.61179,1.07274,5.70852e-05,5.70852e-05,5.70852e-05
144,1675.27,1.2883,0.63391,0.99784,0.97717,0.94842,0.97944,0.63095,1.18314,0.60778,1.04835,5.10858e-05,5.10858e-05,5.10858e-05
145,1687.3,1.30743,0.63219,1.01534,0.98079,0.95091,0.97954,0.63088,1.19187,0.61099,1.04691,4.50864e-05,4.50864e-05,4.50864e-05
146,1698.88,1.29543,0.63868,1.00885,0.98125,0.95695,0.98006,0.62525,1.20915,0.60652,1.05725,3.9087e-05,3.9087e-05,3.9087e-05
147,1710.94,1.29531,0.64329,1.00882,0.96908,0.96446,0.98055,0.61712,1.21679,0.59973,1.06583,3.30876e-05,3.30876e-05,3.30876e-05
148,1722.6,1.28065,0.62624,1.00443,0.97809,0.95335,0.98067,0.63019,1.1855,0.60265,1.04746,2.70882e-05,2.70882e-05,2.70882e-05
149,1734.11,1.27937,0.62661,1.0035,0.98053,0.957,0.98082,0.62319,1.19917,0.59694,1.05268,2.10888e-05,2.10888e-05,2.10888e-05
150,1745.67,1.27297,0.62302,1.00044,0.97977,0.95723,0.98087,0.63069,1.18946,0.58986,1.058,1.50894e-05,1.50894e-05,1.50894e-05
